# 课文对话行的拼音 + 英文翻译（手工源，convert_texts.py 回灌到 lines[]）
# 格式: 汉字<TAB>拼音<TAB>英文  —— 按去重后的对话行（说话人已去掉）
# 拼音为 tone-marked，不/一 采用变调写法；数字读作汉字处已转拼音，电话号码保留原样。
# 目前覆盖 newhsk3 第 1 单元（试水）。
AI小语，你好！	AI Xiǎoyǔ, nǐ hǎo!	AI Xiaoyu, hello!
下个月的篮球比赛，你能参加吗？	Xià ge yuè de lánqiú bǐsài, nǐ néng cānjiā ma?	Can you take part in next month's basketball game?
一定能参加，一点儿影响也没有。	Yídìng néng cānjiā, yìdiǎnr yǐngxiǎng yě méiyǒu.	I can definitely take part—it won't affect me at all.
大山，你和马可谁个子高？	Dàshān, nǐ hé Mǎkě shéi gèzi gāo?	Dashan, who's taller, you or Marco?
马可比我高，我比马可矮一点儿。	Mǎkě bǐ wǒ gāo, wǒ bǐ Mǎkě ǎi yìdiǎnr.	Marco is taller than me; I'm a bit shorter than Marco.
那你们谁大？	Nà nǐmen shéi dà?	Then who's older?
我比马可大两岁。	Wǒ bǐ Mǎkě dà liǎng suì.	I'm two years older than Marco.
你们谁的汉语说得更好？	Nǐmen shéi de Hànyǔ shuō de gèng hǎo?	Whose Chinese is better?
马可比我说得好一些，我的汉语没有他好。	Mǎkě bǐ wǒ shuō de hǎo yìxiē, wǒ de Hànyǔ méiyǒu tā hǎo.	Marco speaks a bit better than me; my Chinese isn't as good as his.
我喜欢历史课、体育课，不喜欢数学课。	Wǒ xǐhuan lìshǐ kè, tǐyù kè, bù xǐhuan shùxué kè.	I like history and P.E. class, but not math class.
为什么？数学也很有意思啊。	Wèishénme? Shùxué yě hěn yǒu yìsi a.	Why? Math is interesting too.
我觉得数学比历史难多了，我听不懂。	Wǒ juéde shùxué bǐ lìshǐ nán duō le, wǒ tīngbudǒng.	I think math is much harder than history—I can't follow it.
别担心，我可以帮你。	Bié dānxīn, wǒ kěyǐ bāng nǐ.	Don't worry, I can help you.
好啊，我们每天学多长时间？	Hǎo a, wǒmen měi tiān xué duō cháng shíjiān?	Great—how long should we study each day?
一两个小时吧。	Yī-liǎng ge xiǎoshí ba.	An hour or two.
你最近比以前来得早多了，搬家了？	Nǐ zuìjìn bǐ yǐqián lái de zǎo duō le, bānjiā le?	You've been arriving much earlier than before—did you move?
是啊，你不知道？我上个月就搬家了，走路二十分钟就到。	Shì a, nǐ bù zhīdào? Wǒ shàng ge yuè jiù bānjiā le, zǒulù èrshí fēnzhōng jiù dào.	Yeah, didn't you know? I moved last month—it's just a twenty-minute walk now.
那很方便啊。	Nà hěn fāngbiàn a.	That's very convenient.
我还打算买辆自行车，骑车七八分钟就能到。	Wǒ hái dǎsuàn mǎi liàng zìxíngchē, qí chē qī-bā fēnzhōng jiù néng dào.	I'm also planning to buy a bike—it'd only take seven or eight minutes to ride there.
你不是有一辆吗？	Nǐ bú shì yǒu yí liàng ma?	Don't you already have one?
那辆太旧了，要换一辆，很便宜，两三百块钱。	Nà liàng tài jiù le, yào huàn yí liàng, hěn piányi, liǎng-sān bǎi kuài qián.	That one's too old; I want to replace it. It's cheap—two or three hundred yuan.
这两个地方的房子一样吗？	Zhè liǎng ge dìfang de fángzi yíyàng ma?	Are the houses in these two places the same?
不一样。您看，学校外边的房子比学校里边的大一些。	Bù yíyàng. Nín kàn, xuéxiào wàibian de fángzi bǐ xuéxiào lǐbian de dà yìxiē.	No. See, the houses outside the school are a bit bigger than those inside.
大小没关系，主要是环境，哪个更安静？	Dàxiǎo méi guānxi, zhǔyào shì huánjìng, nǎge gèng ānjìng?	Size doesn't matter; it's mainly the surroundings—which is quieter?
学校里边的没有学校外边的那么安静。	Xuéxiào lǐbian de méiyǒu xuéxiào wàibian de nàme ānjìng.	The ones inside the school aren't as quiet as those outside.
哪个方便一些呢？	Nǎge fāngbiàn yìxiē ne?	Which is more convenient?
学校里边比学校外边方便，附近有三四个车站。	Xuéxiào lǐbian bǐ xuéxiào wàibian fāngbiàn, fùjìn yǒu sān-sì ge chēzhàn.	Inside the school is more convenient—there are three or four bus stops nearby.
我先走了。	Wǒ xiān zǒu le.	I'm heading off now.
你去哪儿？	Nǐ qù nǎr?	Where are you going?
我去图书馆借本书。	Wǒ qù túshūguǎn jiè běn shū.	I'm going to the library to borrow a book.
帮我把这本词典还了吧。	Bāng wǒ bǎ zhè běn cídiǎn huán le ba.	Return this dictionary for me, please.
好，等一会儿你离开教室的时候，记得把灯关了。	Hǎo, děng yíhuìr nǐ líkāi jiàoshì de shíhou, jìde bǎ dēng guān le.	Okay, when you leave the classroom later, remember to turn off the lights.
好的，放心吧。	Hǎo de, fàngxīn ba.	Sure, don't worry.
会议结束后，别忘记把空调关了。	Huìyì jiéshù hòu, bié wàngjì bǎ kōngtiáo guān le.	After the meeting ends, don't forget to turn off the air conditioner.
好的。王经理两点左右来了个电话。	Hǎo de. Wáng jīnglǐ liǎng diǎn zuǒyòu lái le ge diànhuà.	Okay. Manager Wang called around two o'clock.
他已经到北京了？	Tā yǐjīng dào Běijīng le?	Has he already arrived in Beijing?
是的，他正坐地铁来我们公司呢。	Shì de, tā zhèng zuò dìtiě lái wǒmen gōngsī ne.	Yes, he's on the subway coming to our company now.
等他到了就告诉我。	Děng tā dào le jiù gàosu wǒ.	Tell me as soon as he arrives.
还差一双筷子，你去拿一下。	Hái chà yì shuāng kuàizi, nǐ qù ná yíxià.	We're one pair of chopsticks short—go get some.
今天怎么做了这么多菜？	Jīntiān zěnme zuò le zhème duō cài?	Why did you make so many dishes today?
今天是你爸爸的生日。	Jīntiān shì nǐ bàba de shēngrì.	Today is your dad's birthday.
真的啊？我把爸爸的生日忘了。那我们今天喝点儿啤酒吧。	Zhēn de a? Wǒ bǎ bàba de shēngrì wàng le. Nà wǒmen jīntiān hē diǎnr píjiǔ ba.	Really? I forgot Dad's birthday. Then let's have some beer today.
医生说你爸爸一口酒都不能喝，别让他看见酒瓶子。	Yīshēng shuō nǐ bàba yì kǒu jiǔ dōu bù néng hē, bié ràng tā kànjiàn jiǔ píngzi.	The doctor said your dad can't drink a drop—don't let him see the bottles.
这个笔记本电脑我去年买的时候要五千块左右，现在便宜多了。我想把这个电脑卖了，再买一个更好的。现在我每天起床后的第一件事就是打开电脑，看电子邮件。我已经很少写信，也很少用笔写字，已经习惯用电脑来学习和工作了。哪一天突然没有了电脑，我们怎么办呢？	Zhège bǐjìběn diànnǎo wǒ qùnián mǎi de shíhou yào wǔqiān kuài zuǒyòu, xiànzài piányi duō le. Wǒ xiǎng bǎ zhège diànnǎo mài le, zài mǎi yí ge gèng hǎo de. Xiànzài wǒ měi tiān qǐchuáng hòu de dì-yī jiàn shì jiù shì dǎkāi diànnǎo, kàn diànzǐ yóujiàn. Wǒ yǐjīng hěn shǎo xiě xìn, yě hěn shǎo yòng bǐ xiě zì, yǐjīng xíguàn yòng diànnǎo lái xuéxí hé gōngzuò le. Nǎ yì tiān tūrán méiyǒu le diànnǎo, wǒmen zěnme bàn ne?	When I bought this laptop last year it cost around five thousand yuan; now it's much cheaper. I want to sell it and buy a better one. These days the first thing I do after getting up is open the computer and check my email. I rarely write letters or write by hand anymore—I've gotten used to studying and working on the computer. If one day the computer were suddenly gone, what would we do?
今天太阳从西边出来了吗？	Jīntiān tàiyáng cóng xībian chūlai le ma?	Did the sun rise in the west today?
你怎么这么早就要睡觉了？以前都要12点以后才睡觉。	Nǐ zěnme zhème zǎo jiù yào shuìjiào le? Yǐqián dōu yào shí'èr diǎn yǐhòu cái shuìjiào.	Why are you going to bed so early? You used to stay up past twelve.
我明天8点就要到公司。	Wǒ míngtiān bā diǎn jiù yào dào gōngsī.	I have to be at the office by eight tomorrow.
有事吗？	Yǒu shì ma?	Is something up?
经理生气了，他告诉我，明天8点不到，以后就别来了。	Jīnglǐ shēngqì le, tā gàosu wǒ, míngtiān bā diǎn bú dào, yǐhòu jiù bié lái le.	The manager got angry—he told me if I'm not in by eight tomorrow, I needn't come again.
我要跟周经理去外地办事，明天的飞机。	Wǒ yào gēn Zhōu jīnglǐ qù wàidì bànshì, míngtiān de fēijī.	I'm going out of town on business with Manager Zhou—the flight's tomorrow.
那我帮你把衣服放到行李箱里吧。什么时候回来？	Nà wǒ bāng nǐ bǎ yīfu fàng dào xínglǐxiāng li ba. Shénme shíhou huílai?	Then let me pack your clothes into the suitcase. When will you be back?
一个星期就回来。	Yí ge xīngqī jiù huílai.	I'll be back in a week.
啊？一个星期以后才回来？	À? Yí ge xīngqī yǐhòu cái huílai?	What? Not back for a whole week?
你要自己照顾好自己，我已经给你准备好吃的和喝的了。	Nǐ yào zìjǐ zhàogù hǎo zìjǐ, wǒ yǐjīng gěi nǐ zhǔnbèi hǎo chī de hé hē de le.	Take good care of yourself—I've already prepared food and drinks for you.
好吧。我已经把我的照片放在你的包里了。	Hǎo ba. Wǒ yǐjīng bǎ wǒ de zhàopiàn fàng zài nǐ de bāo li le.	All right. I've already put a photo of me in your bag.
你怎么才来？	Nǐ zěnme cái lái?	Why are you only getting here now?
对不起，周经理，来机场的路上我才发现忘带护照了。	Duìbuqǐ, Zhōu jīnglǐ, lái jīchǎng de lù shàng wǒ cái fāxiàn wàng dài hùzhào le.	Sorry, Manager Zhou—on the way to the airport I realized I'd forgotten my passport.
快点吧，飞机就要起飞了。	Kuài diǎn ba, fēijī jiù yào qǐfēi le.	Hurry up—the plane's about to take off.
您有钱吗？司机把我送到机场的时候，我才发现忘记带钱包了。	Nín yǒu qián ma? Sījī bǎ wǒ sòng dào jīchǎng de shíhou, wǒ cái fāxiàn wàngjì dài qiánbāo le.	Do you have any money? When the driver dropped me at the airport, I realized I'd forgotten my wallet.
我看你还是把重要的东西放在我这儿吧。	Wǒ kàn nǐ háishi bǎ zhòngyào de dōngxi fàng zài wǒ zhèr ba.	I think you'd better leave your important things with me.
我是一个中学老师，教学生画画儿。每次下课前，我都会把下次学生需要带的东西写在黑板上，但是每次上课时，总会有学生忘了拿铅笔，所以我有点儿生气，不是因为他们没带铅笔，是因为他们没有好的学习习惯。	Wǒ shì yí ge zhōngxué lǎoshī, jiāo xuésheng huà huàr. Měi cì xiàkè qián, wǒ dōu huì bǎ xià cì xuésheng xūyào dài de dōngxi xiě zài hēibǎn shàng, dànshì měi cì shàngkè shí, zǒng huì yǒu xuésheng wàng le ná qiānbǐ, suǒyǐ wǒ yǒudiǎnr shēngqì, bú shì yīnwèi tāmen méi dài qiānbǐ, shì yīnwèi tāmen méiyǒu hǎo de xuéxí xíguàn.	I'm a middle-school teacher; I teach students to draw. Before each class ends, I write on the blackboard what they need to bring next time, but every class some student forgets to bring a pencil. So I get a bit annoyed—not because they forgot pencils, but because they lack good study habits.
你终于回来了！从哪儿买回来这么多东西啊？	Nǐ zhōngyú huílai le! Cóng nǎr mǎi huílai zhème duō dōngxi a?	You're finally back! Where did you buy so much stuff?
都是从那边的商店买回来的。	Dōu shì cóng nàbiān de shāngdiàn mǎi huílai de.	I bought it all from the store over there.
怎么还买红酒回来了？谁喝啊？	Zěnme hái mǎi hóngjiǔ huílai le? Shéi hē a?	Why did you buy red wine too? Who's going to drink it?
这是给爷爷的礼物，明天我们一起送过去，看看爷爷奶奶。	Zhè shì gěi yéye de lǐwù, míngtiān wǒmen yìqǐ sòng guòqu, kànkan yéye nǎinai.	It's a gift for Grandpa—tomorrow we'll take it over together and visit Grandpa and Grandma.
那我的礼物呢？快拿出来让我看看。	Nà wǒ de lǐwù ne? Kuài ná chūlai ràng wǒ kànkan.	Then where's my gift? Hurry and take it out to show me.
我不是已经回来了吗？	Wǒ bú shì yǐjīng huílai le ma?	Haven't I already come back (to you)?
我今天看见你和一个女的进了咖啡店，她是谁啊？	Wǒ jīntiān kànjiàn nǐ hé yí ge nǚ de jìn le kāfēidiàn, tā shì shéi a?	I saw you go into a coffee shop with a woman today—who is she?
她是我今天在路上遇到的一个老同学。	Tā shì wǒ jīntiān zài lù shàng yùdào de yí ge lǎo tóngxué.	She's an old classmate I ran into on the street today.
你们就一起去喝咖啡了？	Nǐmen jiù yìqǐ qù hē kāfēi le?	And you just went for coffee together?
是啊，一边喝咖啡一边说了些过去的事。	Shì a, yìbiān hē kāfēi yìbiān shuō le xiē guòqù de shì.	Yeah, we chatted about old times over coffee.
你回来得这么晚，是说了很多过去的事吗？	Nǐ huílai de zhème wǎn, shì shuō le hěn duō guòqù de shì ma?	You came back so late—did you talk about a lot of old times?
不是。没有公共汽车了，我是走回来的。	Bú shì. Méiyǒu gōnggòng qìchē le, wǒ shì zǒu huílai de.	No. There were no more buses, so I walked back.
小丽，周末你一般跟小刚出去看电影吗？	Xiǎo Lì, zhōumò nǐ yìbān gēn Xiǎo Gāng chūqu kàn diànyǐng ma?	Xiao Li, do you usually go out to the movies with Xiao Gang on weekends?
我很少去电影院看电影，我更愿意在家看电视。	Wǒ hěn shǎo qù diànyǐngyuàn kàn diànyǐng, wǒ gèng yuànyì zài jiā kàn diànshì.	I rarely go to the cinema; I'd rather watch TV at home.
看电视有什么意思啊？	Kàn diànshì yǒu shénme yìsi a?	What's fun about watching TV?
可以一边吃一边看，坐久了还可以站起来休息一会儿。	Kěyǐ yìbiān chī yìbiān kàn, zuò jiǔ le hái kěyǐ zhàn qǐlai xiūxi yíhuìr.	You can eat while watching, and if you've sat too long you can stand up and take a break.
你应该多出去走走，这样你们的生活会更有意思。	Nǐ yīnggāi duō chūqu zǒuzou, zhèyàng nǐmen de shēnghuó huì gèng yǒu yìsi.	You should go out more—that way your life would be more interesting.
有他在，我的生活已经很有意思了。	Yǒu tā zài, wǒ de shēnghuó yǐjīng hěn yǒu yìsi le.	With him around, my life is already very interesting.
刚结婚的时候，我丈夫是中学老师，他喜欢每天早上起床后，一边吃早饭一边看报纸。十年过去了，现在他已经是校长了，因为太忙，每天早上我起床后都看不到他，晚上很晚他才回到家。我真怕他累坏了。希望他能少一些会议，多一些休息，可以经常和我还有孩子在一起。	Gāng jiéhūn de shíhou, wǒ zhàngfu shì zhōngxué lǎoshī, tā xǐhuan měi tiān zǎoshang qǐchuáng hòu, yìbiān chī zǎofàn yìbiān kàn bàozhǐ. Shí nián guòqu le, xiànzài tā yǐjīng shì xiàozhǎng le, yīnwèi tài máng, měi tiān zǎoshang wǒ qǐchuáng hòu dōu kànbudào tā, wǎnshang hěn wǎn tā cái huí dào jiā. Wǒ zhēn pà tā lèihuài le. Xīwàng tā néng shǎo yìxiē huìyì, duō yìxiē xiūxi, kěyǐ jīngcháng hé wǒ háiyǒu háizi zài yìqǐ.	When we first married, my husband was a middle-school teacher who liked to read the paper over breakfast every morning. Ten years have passed, and now he's a principal. He's so busy that I don't see him when I get up in the morning, and he gets home very late at night. I really worry he'll wear himself out. I hope he can have fewer meetings and more rest, and spend more time with me and the kids.
客人就要来了，你怎么还不打扫房间啊？	Kèrén jiù yào lái le, nǐ zěnme hái bù dǎsǎo fángjiān a?	The guests are about to arrive—why aren't you cleaning the room yet?
别着急，我让孩子们打扫呢，客人来的时候，他们会把房间打扫干净。	Bié zháojí, wǒ ràng háizimen dǎsǎo ne, kèrén lái de shíhou, tāmen huì bǎ fángjiān dǎsǎo gānjìng.	Don't rush—I've got the kids cleaning; by the time the guests arrive, they'll have the room spotless.
那你也不能看电视啊。	Nà nǐ yě bù néng kàn diànshì a.	Still, you shouldn't be watching TV.
你让我做什么？	Nǐ ràng wǒ zuò shénme?	What do you want me to do?
先把茶和杯子放好，然后把冰箱里的西瓜拿出来。	Xiān bǎ chá hé bēizi fàng hǎo, ránhòu bǎ bīngxiāng li de xīguā ná chūlai.	First set out the tea and cups, then take the watermelon out of the fridge.
